"","date","gftfp_g","gfrpt_g","gfrpri_g","gfrcp_g","gfrs_g","gfcexp_g","gfsubs_g","gfintpmt_g","yptmr_g","yptmd_g","gfrptb_g","gsrpt_gdp","gsrpri_gdp","gsrcp_gdp","gsrs_gdp","jgf_g","jgs_g","jc_g","gf_gdp","gf_gdpalt","gdp_g","gdph_g","gdppothq_g","gdppotq_g","dc_g","jgdp_g","c_g","ch_g","gh_g","gfh_g","gsh_g","g_g","gf_g","gs_g","gfb_g","gfhb_g","gsrpt_g","gsrpri_g","gsrcp_g","gsrs_g","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","ptgh","ptgsh","ptgfh","yptmr","yptmd","gtfp","ypog","yptx","ytpi","yctlg","g","gfrcf","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","gdppothq","gdppotq","recessq","fshare","gstfp_g","gstfpnet_g","gftfpnet_g","yfptmd_g","ysptmd_g","gfegnet_g","gfsave","gssave","gfrptsave","yfptmd","ysptmd","gfegnet","gstfpnet","gftfpnet","yptxb","deficit","deficitb"
"15",1973-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.8,858.9,3577.9,5674.1,24.005,25.29,24.269,17.353,-1,0.46,-1.46,10.5,9.7,109.2,1.8,134.1,118.4,43.4,304.2,4.6,76.6,24.005,171.7219887542,132.3780112458,594,921.9,111,19.7,37.6,75.1,85.1,32.6,23.1,98.7,5.9,1.5,24.2,190,5512.6,1394.1,-1,0.523506314,NA,NA,NA,NA,NA,NA,144.2,159.9,111,5.0780112458,4.6219887542,27.5219887542,19.1219887542,90.1780112458,NA,-13.4219887542,14.1
"16",1973-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.3,873.9,3567.2,5728,24.496,25.728,24.788,17.682,0.63,0.55,0.09,11,10.1,112.3,1.9,140,119.7,45.6,312.6,4.9,78.1,24.498,175.9125862286,136.6874137714,595.4,933.1,116,20.1,39.4,76.6,87.3,33.6,24,99.6,6.1,1.6,25,195.9,5560,1430.5,1,0.523506314,NA,NA,NA,NA,NA,NA,147.6,165,116,5.2874137714,4.8125862286,28.3125862286,19.7125862286,92.5874137714,NA,-11.1125862286,17.2
"17",1974-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.2,891.9,3535.3,5678.7,25.225,26.249,25.042,18.195,1.52,0.57,0.95,11.7,10.2,117.5,1.9,142.8,120.8,43.7,324.6,5.1,83.7,25.227,180.2178813342,144.3821186658,609.7,944.9,119.5,19.8,37.4,82.1,94.1,33.3,23.3,101,6.3,1.6,23.4,201.1,5609.4,1472.4,1,0.566874379,NA,NA,NA,NA,NA,NA,152.7,171.9,119.5,5.7821186658,4.4178813342,27.5178813342,17.6178813342,99.8821186658,NA,-15.5178813342,12
"18",1974-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530.1,920.4,3548,5692.2,25.939,26.832,25.494,18.828,0.43,0.58,-0.14,12.4,11.1,125.4,2,148.9,124.1,45.9,335,5.5,85.3,25.942,182.7076943931,152.2923056069,607.6,956.6,124.8,20.1,39.3,83.6,100.7,34.1,24.1,104,6.6,1.6,24.7,210.1,5660.8,1518.9,1,0.566874379,NA,NA,NA,NA,NA,NA,154.9,180.1,124.8,6.2923056069,4.8076943931,27.8076943931,18.4076943931,106.9923056069,NA,-15.6076943931001,12.1999999999999
"19",1974-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560,949.3,3563.3,5638.4,26.639,27.659,26.239,19.515,0.2,-0.08,0.28,13.1,11.4,132.2,2.1,154.9,127.1,50.8,346.7,5.8,86.9,26.64,189.3376320794,157.3623679206,611.5,954.8,129.7,20.2,43.5,85.2,106.4,35.4,25.2,106.8,7.3,1.7,25.9,217,5712.8,1580.1,1,0.566874379,NA,NA,NA,NA,NA,NA,160.4,186.3,129.7,6.4623679206,4.9376320794,28.9376320794,19.4376320794,112.8623679206,NA,-17.1376320794,11.8
"20",1974-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599.7,959.1,3511.2,5616.5,27.316,28.498,27.11,20.089,0.45,0.03,0.42,13.8,12,139.1,2.2,157.6,127.7,44.6,359.2,5.8,87.1,27.315,197.397507452,161.902492548,617.6,955.2,132,20.2,38.1,85.4,112,36.8,25.6,107.5,6.5,1.7,27.1,223.7,5764.8,1642.9,1,0.566874379,NA,NA,NA,NA,NA,NA,167.4,191.9,132,6.802492548,5.197507452,29.997507452,20.297507452,118.802492548,NA,-33.697507452,-3.69999999999999
"21",1975-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.1,985.2,3540.6,5548.2,27.83,29.142,27.603,20.493,1.03,1.44,-0.4,14.5,13.3,149.8,2.3,158,128.8,37.6,370.1,5.5,88.2,27.825,200.571448763,169.528551237,611.1,983.4,132.3,19.8,31.5,86.5,120.5,39.3,25.7,109,6.1,1.8,29.2,235.9,5815.5,1694.8,1,0.55101889,NA,NA,NA,NA,NA,NA,168.6,201.5,132.3,7.328551237,5.971448763,31.971448763,21.871448763,127.828551237,NA,-50.971448763,-19
"22",1975-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651.9,1013.6,3598.9,5587.8,28.172,29.565,28.003,20.899,-0.74,-0.35,-0.39,15.2,13.8,164.6,2.4,121.1,133,40.8,373.4,5.4,88.6,28.164,206.095939318,167.304060682,605,976.4,94.6,21.3,34.2,86.8,134.2,44.3,26.5,111.7,6.6,1.8,30.5,240.3,5864.5,1733.8,-1,0.55101889,NA,NA,NA,NA,NA,NA,169.4,204,94.6,7.604060682,6.195939318,36.695939318,22.895939318,141.804060682,NA,-103.395939318,-66.7
"23",1975-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709.8,1047.2,3650,5683.4,28.699,30.087,28.38,21.166,1.75,0.64,1.1,16,13.8,167.7,2.6,152.8,138.2,51.4,385.4,5.2,90.3,28.69,213.495939318,171.904060682,620.6,988.9,125.7,23.3,43.2,88.5,136.8,45,27.2,114.9,8.2,1.9,31,246.6,5912.7,1779,-1,0.55101889,NA,NA,NA,NA,NA,NA,176.1,209.3,125.7,7.604060682,6.195939318,37.395939318,23.395939318,144.404060682,NA,-69.595939318,-32.2
"24",1975-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1761.8,1076.2,3689.3,5760,29.18,30.59,29.032,21.437,0.82,0.66,0.16,16.8,14.6,170.4,2.7,158.5,141.1,52.3,395.6,5.5,92.4,29.172,218.655124206,176.944875794,622.7,1002.1,130.4,23.9,43.9,90.5,137.8,45.9,28.2,117.3,8.4,2,32.6,254.2,5960.3,1823.3,-1,0.55101889,NA,NA,NA,NA,NA,NA,180.8,214.8,130.4,8.044875794,6.555124206,37.855124206,24.555124206,145.844875794,NA,-67.755124206,-29.9
"25",1976-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820.5,1109.9,3763,5889.5,29.502,30.925,29.456,21.679,0.18,0.56,-0.38,17.6,15.2,174.7,2.8,162.5,141.7,59.6,401.3,5.8,99.6,29.495,219.4397682448,181.8602317552,616.5,1013.3,133,20.8,49.9,97.5,141.3,47,29.5,120.9,9.7,2,33.4,260.3,6006.8,1857.6,-1,0.602646826,NA,NA,NA,NA,NA,NA,181.6,219.7,133,9.1602317552,6.0397682448,37.8397682448,24.2397682448,150.4602317552,NA,-59.5397682448,-21.6999999999999
"26",1976-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852.3,1129.5,3797.7,5932.7,29.749,31.233,29.703,21.942,-0.97,-0.85,-0.13,18.4,14.9,173.1,3,169.3,144.9,58.6,401,5.8,101.1,29.743,221.3205622926,179.6794377074,614.4,995.6,138.7,21.3,49,98.9,139.6,47.8,30.6,123.5,9.6,2.1,33.4,259.4,6053,1890.5,-1,0.602646826,NA,NA,NA,NA,NA,NA,182.5,218.5,138.7,8.9794377074,5.9205622926,38.8205622926,24.4205622926,148.5794377074,NA,-53.0205622926001,-14.2
"27",1976-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886.6,1158.8,3837.7,5965.3,30.2,31.632,30.043,22.105,-0.24,-0.31,0.08,19.2,15.9,180.1,3.1,176.1,147.7,58.1,403.5,5.9,102.8,30.196,224.0179154666,179.4820845334,615.3,989,144.5,21.7,48.5,100.6,145.4,48.7,31.6,126,9.7,2.2,34.7,261.3,6099.5,1929.4,-1,0.602646826,NA,NA,NA,NA,NA,NA,184.9,218.6,144.5,9.5820845334,6.3179154666,39.1179154666,25.1179154666,154.9820845334,NA,-54.1179154666,-15.0000000000001
"28",1976-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.3,1192.4,3887.4,6008.5,30.678,32.169,30.846,22.369,-0.02,-0.14,0.11,20,15.9,182.7,3.2,182.7,151.3,57.1,410.8,6,104.4,30.673,233.3179154666,177.4820845334,616.7,986,150.1,21.7,47.5,102.1,147.7,52.7,32.6,129.6,9.6,2.3,35,263.9,6146.7,1977.3,-1,0.602646826,NA,NA,NA,NA,NA,NA,190.2,220.6,150.1,9.5820845334,6.3179154666,43.1179154666,25.4179154666,157.2820845334,NA,-59.6179154666,-16.5
"29",1977-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.6,1228.2,3933.3,6079.5,31.231,32.689,31.283,22.791,0.76,0.46,0.31,20.9,16.2,185.5,3.3,188.8,154.8,61.5,421.2,5.9,110,31.226,235.7202473686,185.4797526314,620.9,995.8,155.3,22,51,107.5,149.8,50.7,33.5,132.9,10.5,2.5,35.7,271.1,6196,2025.4,-1,0.566651397,NA,NA,NA,NA,NA,NA,194.2,227,155.3,9.1797526314,7.0202473686,41.5202473686,26.5202473686,158.9797526314,NA,-49.7202473686,-8.19999999999999
"30",1977-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055.9,1256,3954.6,6197.7,31.766,33.205,31.639,23.199,0.81,0.28,0.53,21.7,17.5,186.4,3.4,195.7,158,67.1,431.4,6,112.8,31.76,242.6836005525,188.6163994475,628.8,1001.9,161,22.5,55.7,110.1,148.9,53.7,34.7,135.5,11.4,2.7,37.5,278.6,6246.4,2074.1,-1,0.566651397,NA,NA,NA,NA,NA,NA,198.9,232.4,161,9.9163994475,7.5836005525,43.7836005525,27.5836005525,158.8163994475,NA,-42.2836005525,1.49999999999994
"31",1977-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2118.5,1286.9,3992,6309.5,32.243,33.662,31.795,23.594,0.35,-0.05,0.4,22.5,16.7,191.7,3.5,198.6,161.5,69.7,438,5.9,115.1,32.237,249.7369216701,188.2630783299,635.1,1000.8,162.6,23.2,57.9,112.2,154.4,57.3,35.9,138.3,11.8,2.9,37.3,282.3,6297.9,2120,-1,0.566651397,NA,NA,NA,NA,NA,NA,201.9,236.1,162.6,9.4630783299,7.2369216701,47.8369216701,27.8369216701,163.8630783299,NA,-48.2369216701001,-0.400000000000034
"32",1977-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164.3,1324.8,4052,6309.7,32.702,34.225,32.716,23.992,-0.23,0.06,-0.28,23.3,16.5,194.3,3.6,208.5,164.3,70.1,446.7,6,117.5,32.695,254.2502519495,192.5497480505,630.7,1002.4,171.2,23.2,58.1,114.4,156.6,57.3,37.3,141.1,12,3,37.7,287.5,6350.8,2173.5,-1,0.566651397,NA,NA,NA,NA,NA,NA,206.3,240.5,171.2,9.3497480505,7.1502519495,47.9502519495,28.3502519495,165.9497480505,NA,-43.9502519495001,4
"33",1978-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202.8,1354.1,4074.8,6329.8,33.238,34.786,33.09,24.331,-0.03,-0.03,-0.01,24.2,17.5,197.7,3.7,212,166.9,65,452.6,6.3,124.7,33.23,260.4832776825,192.1167223175,631.1,1002.2,173.4,24,54.4,121.6,158.5,61.5,38.6,143,10.5,3.2,39.2,292.5,6404.9,2228,-1,0.560955561,NA,NA,NA,NA,NA,NA,208.8,243.8,173.4,9.8167223175,7.6832776825,51.6832776825,29.3832776825,168.3167223175,NA,-45.5832776825,6.09999999999997
